Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
0,79,79,0,12,0,6,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,80,80,0,12,0,6,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,81,81,0,12,0,6,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,82,82,0,12,0,6,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,83,83,0,12,0,6,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,84,84,0,12,0,6,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,85,85,0,12,0,6,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,86,86,2,14,1,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,87,87,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,88,88,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,89,89,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,90,90,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,91,91,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,92,92,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,93,93,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,94,94,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,95,95,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,96,96,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,97,97,0,14,0,7,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,98,98,2,16,1,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,99,99,0,16,0,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,100,100,0,16,0,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,101,101,0,16,0,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,102,102,0,16,0,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,103,103,0,16,0,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,104,104,0,16,0,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,105,105,0,16,0,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,106,106,0,16,0,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,107,107,0,16,0,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,108,108,0,16,0,8,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,109,109,2,18,1,9,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
