Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
9,100,10,1,106,0,93,M_0,M_2,M_3,M_4,M_5,M_6,M_0,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,100,0,0,106,0,93,M_0,M_2,M_3,M_4,M_5,M_6,M_0,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,101,1,2,108,1,94,M_0,M_2,M_0,M_4,M_5,M_6,M_3,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,102,2,0,108,0,94,M_0,M_2,M_0,M_4,M_5,M_6,M_3,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,103,3,2,110,1,95,M_0,M_2,M_0,M_4,M_3,M_6,M_5,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,104,4,0,110,0,95,M_0,M_2,M_0,M_4,M_3,M_6,M_5,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,105,5,2,112,1,96,M_0,M_2,M_0,M_4,M_3,M_5,M_6,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,106,6,0,112,0,96,M_0,M_2,M_0,M_4,M_3,M_5,M_6,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,107,7,2,114,1,97,M_0,M_4,M_0,M_4,M_3,M_5,M_6,M_2,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,108,8,0,114,0,97,M_0,M_4,M_0,M_4,M_3,M_5,M_6,M_2,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,109,9,1,115,0,98,M_0,M_4,M_0,M_4,M_3,M_5,M_6,M_1,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
10,110,10,0,115,0,98,M_0,M_4,M_0,M_4,M_3,M_5,M_6,M_1,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
11,110,0,0,115,0,98,M_0,M_4,M_0,M_4,M_3,M_5,M_6,M_1,M_4,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
11,111,1,3,118,0,101,M_0,M_4,M_4,M_4,M_3,M_5,M_6,M_0,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
11,112,2,2,120,1,102,M_0,M_4,M_4,M_4,M_0,M_5,M_6,M_3,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
11,113,3,0,120,0,102,M_0,M_4,M_4,M_4,M_0,M_5,M_6,M_3,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
11,114,4,2,122,1,103,M_0,M_4,M_4,M_4,M_0,M_3,M_6,M_5,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
11,115,5,0,122,0,103,M_0,M_4,M_4,M_4,M_0,M_3,M_6,M_5,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
11,116,6,2,124,1,104,M_0,M_4,M_4,M_4,M_0,M_3,M_5,M_6,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
